scan_id,prn,system_char,channel,secondary_code_length,call_index,corr_value
0,5,69,4,25,2264,-3
0,5,69,4,25,2265,-3
0,5,69,4,25,2266,-3
0,5,69,4,25,2267,-5
0,5,69,4,25,2268,1
0,5,69,4,25,2269,-1
0,5,69,4,25,2270,5
0,5,69,4,25,2271,-5
0,5,69,4,25,2272,7
0,5,69,4,25,2273,1
0,5,69,4,25,2274,7
0,5,69,4,25,2275,11
0,5,69,4,25,2276,-3
0,5,69,4,25,2277,-3
0,5,69,4,25,2278,3
0,5,69,4,25,2279,1
0,5,69,4,25,2280,1
0,5,69,4,25,2281,1
0,5,69,4,25,2282,-1
0,5,69,4,25,2283,-5
0,5,69,4,25,2284,7
0,5,69,4,25,2285,1
0,5,69,4,25,2286,-7
0,5,69,4,25,2287,9
0,5,69,4,25,2288,5
0,5,69,4,25,2289,-3
0,5,69,4,25,2290,-3
0,5,69,4,25,2291,-3
0,5,69,4,25,2292,-5
0,5,69,4,25,2293,1
0,5,69,4,25,2294,-1
0,5,69,4,25,2295,5
0,5,69,4,25,2296,-5
0,5,69,4,25,2297,7
0,5,69,4,25,2298,1
0,5,69,4,25,2299,7
0,5,69,4,25,2300,11
0,5,69,4,25,2301,-3
0,5,69,4,25,2302,-3
0,5,69,4,25,2303,3
0,5,69,4,25,2304,1
0,5,69,4,25,2305,1
0,5,69,4,25,2306,1
0,5,69,4,25,2307,-1
0,5,69,4,25,2308,-5
0,5,69,4,25,2309,7
0,5,69,4,25,2310,1
0,5,69,4,25,2311,-7
0,5,69,4,25,2312,9
0,5,69,4,25,2313,5
0,5,69,4,25,2314,-3
0,5,69,4,25,2315,-3
0,5,69,4,25,2316,-3
0,5,69,4,25,2317,-5
0,5,69,4,25,2318,1
0,5,69,4,25,2319,-1
0,5,69,4,25,2320,5
0,5,69,4,25,2321,-5
0,5,69,4,25,2322,7
0,5,69,4,25,2323,1
0,5,69,4,25,2324,7
0,5,69,4,25,2325,11
0,5,69,4,25,2326,-3
0,5,69,4,25,2327,-3
0,5,69,4,25,2328,3
0,5,69,4,25,2329,1
0,5,69,4,25,2330,1
0,5,69,4,25,2331,1
0,5,69,4,25,2332,-1
0,5,69,4,25,2333,-5
0,5,69,4,25,2334,7
0,5,69,4,25,2335,1
0,5,69,4,25,2336,-7
0,5,69,4,25,2337,9
0,5,69,4,25,2338,5
0,5,69,4,25,2339,-3
0,5,69,4,25,2340,-3
0,5,69,4,25,2341,-3
0,5,69,4,25,2342,-5
0,5,69,4,25,2343,1
0,5,69,4,25,2344,-1
0,5,69,4,25,2345,5
0,5,69,4,25,2346,-5
0,5,69,4,25,2347,7
0,5,69,4,25,2348,1
0,5,69,4,25,2349,7
0,5,69,4,25,2350,11
0,5,69,4,25,2351,-3
0,5,69,4,25,2352,-3
0,5,69,4,25,2353,3
0,5,69,4,25,2354,1
0,5,69,4,25,2355,1
0,5,69,4,25,2356,1
0,5,69,4,25,2357,-1
0,5,69,4,25,2358,-5
0,5,69,4,25,2359,7
0,5,69,4,25,2360,1
0,5,69,4,25,2361,-7
0,5,69,4,25,2362,9
0,5,69,4,25,2363,5
0,5,69,4,25,2364,-3
0,5,69,4,25,2365,-3
0,5,69,4,25,2366,-3
0,5,69,4,25,2367,-5
0,5,69,4,25,2368,1
0,5,69,4,25,2369,-1
0,5,69,4,25,2370,5
0,5,69,4,25,2371,-5
0,5,69,4,25,2372,7
0,5,69,4,25,2373,1
0,5,69,4,25,2374,7
0,5,69,4,25,2375,11
0,5,69,4,25,2376,-3
0,5,69,4,25,2377,-3
0,5,69,4,25,2378,3
0,5,69,4,25,2379,1
0,5,69,4,25,2380,1
0,5,69,4,25,2381,1
0,5,69,4,25,2382,-1
0,5,69,4,25,2383,-5
0,5,69,4,25,2384,7
0,5,69,4,25,2385,1
0,5,69,4,25,2386,-7
0,5,69,4,25,2387,9
0,5,69,4,25,2388,5
0,5,69,4,25,2389,-3
0,5,69,4,25,2390,-3
0,5,69,4,25,2391,-3
0,5,69,4,25,2392,-5
0,5,69,4,25,2393,1
0,5,69,4,25,2394,-1
0,5,69,4,25,2395,5
0,5,69,4,25,2396,-5
0,5,69,4,25,2397,7
0,5,69,4,25,2398,1
0,5,69,4,25,2399,7
0,5,69,4,25,2400,11
0,5,69,4,25,2401,-3
0,5,69,4,25,2402,-3
0,5,69,4,25,2403,3
0,5,69,4,25,2404,1
0,5,69,4,25,2405,1
0,5,69,4,25,2406,1
0,5,69,4,25,2407,-1
0,5,69,4,25,2408,-5
0,5,69,4,25,2409,7
0,5,69,4,25,2410,1
0,5,69,4,25,2411,-7
0,5,69,4,25,2412,9
0,5,69,4,25,2413,5
0,5,69,4,25,2414,-3
0,5,69,4,25,2415,-3
0,5,69,4,25,2416,-3
0,5,69,4,25,2417,-5
0,5,69,4,25,2418,1
0,5,69,4,25,2419,-1
0,5,69,4,25,2420,5
0,5,69,4,25,2421,-5
0,5,69,4,25,2422,7
0,5,69,4,25,2423,1
0,5,69,4,25,2424,7
0,5,69,4,25,2425,11
0,5,69,4,25,2426,-3
0,5,69,4,25,2427,-3
0,5,69,4,25,2428,3
0,5,69,4,25,2429,1
0,5,69,4,25,2430,1
0,5,69,4,25,2431,1
0,5,69,4,25,2432,-1
0,5,69,4,25,2433,-5
0,5,69,4,25,2434,7
0,5,69,4,25,2435,1
0,5,69,4,25,2436,-7
0,5,69,4,25,2437,9
0,5,69,4,25,2438,5
0,5,69,4,25,2439,-3
0,5,69,4,25,2440,-3
0,5,69,4,25,2441,-3
0,5,69,4,25,2442,-5
0,5,69,4,25,2443,1
0,5,69,4,25,2444,-1
0,5,69,4,25,2445,5
0,5,69,4,25,2446,-5
0,5,69,4,25,2447,7
0,5,69,4,25,2448,1
0,5,69,4,25,2449,7
0,5,69,4,25,2450,11
0,5,69,4,25,2451,-3
0,5,69,4,25,2452,-3
0,5,69,4,25,2453,3
0,5,69,4,25,2454,1
0,5,69,4,25,2455,1
0,5,69,4,25,2456,1
0,5,69,4,25,2457,-1
0,5,69,4,25,2458,-5
0,5,69,4,25,2459,7
0,5,69,4,25,2460,1
0,5,69,4,25,2461,-7
0,5,69,4,25,2462,9
0,5,69,4,25,2463,5
0,5,69,4,25,2464,-3
0,5,69,4,25,2465,-3
0,5,69,4,25,2466,-3
0,5,69,4,25,2467,-5
0,5,69,4,25,2468,1
0,5,69,4,25,2469,-1
0,5,69,4,25,2470,5
0,5,69,4,25,2471,-5
0,5,69,4,25,2472,7
0,5,69,4,25,2473,1
0,5,69,4,25,2474,7
0,5,69,4,25,2475,11
0,5,69,4,25,2476,-3
0,5,69,4,25,2477,-3
0,5,69,4,25,2478,3
0,5,69,4,25,2479,1
0,5,69,4,25,2480,1
0,5,69,4,25,2481,1
0,5,69,4,25,2482,-1
0,5,69,4,25,2483,-5
0,5,69,4,25,2484,7
0,5,69,4,25,2485,1
0,5,69,4,25,2486,-7
0,5,69,4,25,2487,9
0,5,69,4,25,2488,5
0,5,69,4,25,2489,-3
0,5,69,4,25,2490,-3
0,5,69,4,25,2491,-3
0,5,69,4,25,2492,-5
0,5,69,4,25,2493,1
0,5,69,4,25,2494,-1
0,5,69,4,25,2495,5
0,5,69,4,25,2496,-5
0,5,69,4,25,2497,7
0,5,69,4,25,2498,1
0,5,69,4,25,2499,7
0,5,69,4,25,2500,11
0,5,69,4,25,2501,-3
0,5,69,4,25,2502,-3
0,5,69,4,25,2503,3
0,5,69,4,25,2504,1
0,5,69,4,25,2505,1
0,5,69,4,25,2506,1
0,5,69,4,25,2507,-1
0,5,69,4,25,2508,-5
0,5,69,4,25,2509,7
0,5,69,4,25,2510,1
0,5,69,4,25,2511,-7
0,5,69,4,25,2512,9
0,5,69,4,25,2513,5
0,5,69,4,25,2514,-3
0,5,69,4,25,2515,-3
0,5,69,4,25,2516,-3
0,5,69,4,25,2517,-5
0,5,69,4,25,2518,1
0,5,69,4,25,2519,-1
0,5,69,4,25,2520,5
0,5,69,4,25,2521,-5
0,5,69,4,25,2522,7
0,5,69,4,25,2523,1
0,5,69,4,25,2524,7
0,5,69,4,25,2525,11
0,5,69,4,25,2526,-3
0,5,69,4,25,2527,-3
0,5,69,4,25,2528,3
0,5,69,4,25,2529,1
0,5,69,4,25,2530,1
0,5,69,4,25,2531,1
0,5,69,4,25,2532,-1
0,5,69,4,25,2533,-5
0,5,69,4,25,2534,7
0,5,69,4,25,2535,1
0,5,69,4,25,2536,-7
0,5,69,4,25,2537,9
0,5,69,4,25,2538,5
0,5,69,4,25,2539,-3
0,5,69,4,25,2540,-3
0,5,69,4,25,2541,-3
0,5,69,4,25,2542,-5
0,5,69,4,25,2543,1
0,5,69,4,25,2544,-1
0,5,69,4,25,2545,5
0,5,69,4,25,2546,-5
0,5,69,4,25,2547,7
0,5,69,4,25,2548,1
0,5,69,4,25,2549,7
0,5,69,4,25,2550,11
0,5,69,4,25,2551,-3
0,5,69,4,25,2552,-3
0,5,69,4,25,2553,3
0,5,69,4,25,2554,1
0,5,69,4,25,2555,1
0,5,69,4,25,2556,1
0,5,69,4,25,2557,-1
0,5,69,4,25,2558,-5
0,5,69,4,25,2559,7
0,5,69,4,25,2560,1
